transaction_id,date,accounting_entity,account,account_name,department,description,debit,credit
TXN-1001,2026-08-01,AK Labs Inc.,6100,Cloud Infrastructure,Engineering,August cloud usage,842.19,0.00
TXN-1001,2026-08-01,AK Labs Inc.,2100,Corporate Card Payable,Engineering,August cloud usage,0.00,842.19
TXN-1002,2026-08-02,AK Labs Inc.,6200,Software Subscriptions,Design,Design licenses,180.00,0.00
TXN-1002,2026-08-02,AK Labs Inc.,2100,Corporate Card Payable,Design,Design licenses,0.00,180.00
TXN-1003,2026-08-03,AK Labs Inc.,6600,Travel,Sales,Customer onsite flight,1248.35,0.00
TXN-1003,2026-08-03,AK Labs Inc.,2100,Corporate Card Payable,Sales,Customer onsite flight,0.00,1248.35
TXN-1004,2026-08-04,AK Labs Inc.,6600,Travel,Sales,Airport transportation,46.27,0.00
TXN-1004,2026-08-04,AK Labs Inc.,2100,Corporate Card Payable,Sales,Airport transportation,0.00,46.27
TXN-1006,2026-08-06,AK Labs Inc.,6200,Software Subscriptions,Engineering,Developer licenses,420.00,0.00
TXN-1006,2026-08-06,AK Labs Inc.,2100,Corporate Card Payable,Engineering,Developer licenses,0.00,420.00
TXN-1007,2026-08-07,AK Labs Inc.,6300,Recruiting,People,Recruiting subscription,799.00,0.00
TXN-1007,2026-08-07,AK Labs Inc.,2100,Corporate Card Payable,People,Recruiting subscription,0.00,799.00
TXN-1008,2026-08-08,AK Labs Inc.,6600,Travel,Sales,Customer onsite hotel,936.80,0.00
TXN-1008,2026-08-08,AK Labs Inc.,2100,Corporate Card Payable,Sales,Customer onsite hotel,0.00,936.80
TXN-1009,2026-08-09,AK Labs Inc.,6700,Meals and Entertainment,People,Employee event catering,284.75,0.00
TXN-1009,2026-08-09,AK Labs Inc.,2100,Corporate Card Payable,People,Employee event catering,0.00,284.75
TXN-1010,2026-08-10,AK Labs Inc.,6200,Software Subscriptions,Operations,Webinar subscription,159.90,0.00
TXN-1010,2026-08-10,AK Labs Inc.,2100,Corporate Card Payable,Operations,Webinar subscription,0.00,159.90
TXN-1014,2026-08-14,AK Labs Inc.,6700,Meals and Entertainment,People,New-hire welcome event,168.90,0.00
TXN-1014,2026-08-14,AK Labs Inc.,2100,Corporate Card Payable,People,New-hire welcome event,0.00,168.90
TXN-1017,2026-08-17,AK Labs Inc.,6500,Office Supplies,Operations,Office supplies,412.18,0.00
TXN-1017,2026-08-17,AK Labs Inc.,2100,Corporate Card Payable,Operations,Office supplies,0.00,412.18
TXN-1018,2026-08-18,AK Labs Inc.,6600,Travel,Sales,Customer conference flight,1355.72,0.00
TXN-1018,2026-08-18,AK Labs Inc.,2100,Corporate Card Payable,Sales,Customer conference flight,0.00,1355.72
